Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 28.01     25.44    25.44    20448     1.24     1.24  rzero_
 21.29     44.78    19.34 52552334     0.00     0.00  mxf6_
 18.19     61.30    16.52  1064000     0.02     0.02  nekcopy_
  6.31     67.03     5.74 12348150     0.00     0.00  baryinterp_new_
  2.50     69.30     2.27  4116050     0.00     0.00  init_baryinterp_
  2.32     71.41     2.11  4704000     0.00     0.00  nekadd2col2_
  2.01     73.24     1.83     6002     0.30     0.30  jl_gs_scatter_many_to_vec
  1.55     74.65     1.41   510000     0.00     0.00  full2face_cmt_
  1.39     75.91     1.26   216722     0.01     0.01  gather_double_add
  1.30     77.09     1.18     2000     0.59     8.01  update_stokes_particles_
  1.22     78.20     1.11   552000     0.00     0.00  ausm_fluxfunction_
  1.15     79.24     1.04   774000     0.00     0.00  neksub2_
  1.15     80.28     1.04     2000     0.52    30.29  cmt_nek_advance_
  0.95     81.14     0.86   480000     0.00     0.01  flux_div_integral_
  0.94     81.99     0.85  5040000     0.00     0.00  nekcol2_
  0.79     82.71     0.72    30000     0.02     0.04  surface_integral_full_
  0.78     83.42     0.71     2000     0.36     0.36  compute_cfl_
  0.66     84.02     0.60    30000     0.02     0.02  add_face2full_cmt_
  0.65     84.61     0.59    30000     0.02     0.02  fillq_
  0.58     85.14     0.53   480000     0.00     0.04  assemble_h_
  0.54     85.63     0.49   480000     0.00     0.00  nekadd2_
  0.40     86.00     0.37 50248894     0.00     0.00  mxm_
  0.40     86.36     0.36 52552894     0.00     0.00  mxmf2_
  0.40     86.72     0.36   480000     0.00     0.01  compute_forcing_
  0.37     87.05     0.34   960688     0.00     0.00  add2_
  0.35     87.37     0.32   288000     0.00     0.00  nekinvcol3_
  0.29     87.63     0.26 14352000     0.00     0.00  map_faced_
  0.28     87.88     0.25     6002     0.04     0.04  jl_gs_scatter_many
  0.22     88.08     0.20     8074     0.02     0.04  jl_sarray_transfer_many
  0.22     88.28     0.20     2001     0.10     0.17  particles_in_nid_
  0.20     88.46     0.18  2208768     0.00     0.00  specmpn_
  0.20     88.64     0.18     6000     0.03     2.24  inviscidflux_
  0.19     88.81     0.17  8248931     0.00     0.00  copy_
  0.17     88.96     0.15     2002     0.07     0.10  jl_findpts_local_3
  0.15     89.10     0.14   384000     0.00     0.00  neksubcol3_
  0.14     89.23     0.13  8279121     0.00     0.00  icopy_
  0.14     89.36     0.13     2001     0.06     0.31  jl_findpts_3
