Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 29.02     80.42    80.42 173440067     0.00     0.00  mxf6_
  9.98    108.09    27.67  4232000     0.00     0.00  nekcopy_
  6.90    127.22    19.13 42087132     0.00     0.00  baryinterp_new_
  6.59    145.47    18.25    21504     0.00     0.00  rzero_
  5.11    159.64    14.17  3078000     0.00     0.00  neksub2_
  4.16    171.16    11.52   216404     0.00     0.00  gather_double_add
  3.30    180.30     9.15 14029044     0.00     0.00  init_baryinterp_
  3.07    188.81     8.51     6002     0.00     0.00  jl_gs_scatter_many
  2.81    196.61     7.80 18816000     0.00     0.00  nekadd2col2_
  2.59    203.78     7.17  1950000     0.00     0.00  full2face_cmt_
  2.19    209.84     6.06     2001     0.00     0.01  jl_findpts_3
  1.98    215.34     5.50     2000     0.00     0.03  update_stokes_particles_
  1.59    219.74     4.40                             ausm_fluxfunction_
  1.27    223.25     3.51     6002     0.00     0.00  jl_gs_scatter_many_to_vec
  1.24    226.70     3.45  6912000     0.00     0.00  nekcol2_
  1.24    230.14     3.44     2000     0.00     0.10  cmt_nek_advance_
  1.19    233.44     3.30  1920000     0.00     0.00  flux_div_integral_
  1.18    236.70     3.26    30000     0.00     0.00  surface_integral_full_
  1.03    239.56     2.86    30000     0.00     0.00  add_face2full_cmt_
  0.97    242.26     2.70    30000     0.00     0.00  fillq_
  0.86    244.64     2.38     2000     0.00     0.00  compute_cfl_
  0.82    246.92     2.28 53714619     0.00     0.00  hash_index_aux
  0.74    248.98     2.06  1920000     0.00     0.00  assemble_h_
  0.72    250.98     2.00     2001     0.00     0.00  particles_in_nid_
  0.71    252.95     1.97  1920000     0.00     0.00  nekadd2_
  0.66    254.77     1.82     8074     0.00     0.00  jl_sarray_transfer_many
  0.58    256.37     1.60  1920000     0.00     0.00  compute_forcing_
  0.53    257.85     1.48  1152000     0.00     0.00  nekinvcol3_
  0.53    259.32     1.47    21484     0.00     0.00  radix_count_ui
  0.53    260.79     1.47 170082307     0.00     0.00  mxm_
  0.53    262.25     1.46 17904873     0.00     0.00  hash_index_3
  0.52    263.68     1.43 171234307     0.00     0.00  mxmf2_
  0.50    265.07     1.40 28096941     0.00     0.00  copy_
  0.37    266.11     1.04  3842752     0.00     0.00  add2_
  0.35    267.08     0.97     6000     0.00     0.01  inviscidflux_
  0.35    268.04     0.96 26496000     0.00     0.00  map_faced_
  0.29    268.85     0.81                             crystal_free_
  0.29    269.65     0.80  1536000     0.00     0.00  neksubcol3_
  0.24    270.31     0.66    14770     0.00     0.00  jl_sortp_ui
  0.22    270.93     0.62     2002     0.00     0.00  jl_findpts_local_3
  0.22    271.54     0.61  8835072     0.00     0.00  specmpn_
  0.19    272.06     0.52                             invcol3_
  0.16    272.51     0.46  1158389     0.00     0.00  col2_
  0.15    272.93     0.42 28278462     0.00     0.00  icopy_
  0.15    273.34     0.41 66243072     0.00     0.00  get_int_ptr_
  0.14    273.74     0.40                             mixtperf_ho_cptuvw_
  0.12    274.07     0.33     2000     0.00     0.00  update_particle_location_
  0.11    274.38     0.31 132486149     0.00     0.00  lim_chk_
  0.10    274.66     0.28                             invcol2_
  0.09    274.91     0.25     2001     0.00     0.01  baryweights_findpts_eval_
  0.07    275.11     0.20                             mxf7_
  0.06    275.28     0.17  1920000     0.00     0.00  evaluate_conv_h_
  0.05    275.42     0.14     2001     0.00     0.00  update_findpts_info_
  0.05    275.56     0.14                             mxf1_
  0.05    275.69     0.13  8835072     0.00     0.00  intp_rstd_
  0.05    275.81     0.13                             col2s2_
  0.04    275.92     0.11        2     0.06     0.06  nekrzero_
  0.03    276.01     0.09  1920000     0.00     0.00  local_grad3_t_
  0.03    276.10     0.09     8512     0.00     0.00  jl_sarray_permute_
  0.03    276.19     0.09     2001     0.00     0.02  interp_u_for_adv_
  0.03    276.28     0.09      116     0.00     0.00  radix_count_ull
  0.03    276.37     0.09                             full2face_
  0.03    276.44     0.07 53701818     0.00     0.00  hash_index_aux
